Lugar,Categoria,Visitantes,
China,Turismo,5341847,
China,Otros,956800,
China,Estudios,277895,
China,Asuntos oficiales,5067,
China,Negocios,47709,
Japan,Turismo,3585819,
Japan,Otros,62971,
Japan,Estudios,16333,
Japan,Asuntos oficiales,2264,
Japan,Negocios,28194,
Taiwan,Turismo,1399668,
Taiwan,Otros,17924,
Taiwan,Estudios,5662,
Taiwan,Asuntos oficiales,221,
Taiwan,Negocios,1154,
USA,Turismo,885065,
USA,Otros,232276,
USA,Estudios,6396,
USA,Asuntos oficiales,41533,
USA,Negocios,5449,
Hong Kong,Turismo,766312,
Hong Kong,Otros,12744,
Hong Kong,Estudios,3286,
Hong Kong,Asuntos oficiales,52,
Hong Kong,Negocios,765,
Thailand,Turismo,542276,
Thailand,Otros,95128,
Thailand,Estudios,2181,
Thailand,Asuntos oficiales,4189,
Thailand,Negocios,749,
Vietnam,Turismo,420452,
Vietnam,Otros,120491,
Vietnam,Estudios,65316,
Vietnam,Asuntos oficiales,4382,
Vietnam,Negocios,14280,
Phillipines,Turismo,315298,
Phillipines,Otros,238844,
Phillipines,Estudios,1853,
Phillipines,Asuntos oficiales,2195,
Phillipines,Negocios,2380,
