Fecha,Job,Cell,Shift,Shifthour,Model,Components,Defulm,Quantitydefs,Estacion,Modo_de_Falla,Machine,Week,DATECODE,A2,Turno,Area,Mes,Año,Código_p/producción,Produccion,PPMs,Failure_Mode,Promedio_del_mes_actual,Promedio_del_mes_actual_(A1-2),Total_por_dia_por_area,Min_del_mes,Max_del_mes,PCB,Scrap,Total_Dias_del_mes,Dias_del_mes,Min_x_modo_de_falla,Total_x_dia_x_Modo_de_falla,Max_x_Modo_de_falla,Promedio_x_modo_de_falla,Comentarios
3/2/2020,6205842,SMT 0,1,1,HVL58-24V940-SR0C,pcb,SM26,3,SMT,PCB danado por guillotina,SMT-0,2010,2009smt01112a,1,1,LongBoard,3,2020,3-2020-LongBoard,0,#DIV/0!,PCB damage with guillotine,32,26,25,9,52,33168121-341,15.76746,22,22,1,33,33,14,
3/2/2020,6205842,SMT 0,1,1,HVL58-24V940-SR0C,pcb,SM26,2,SMT,PCB danado por guillotina,SMT-0,2010,2009smt01112a,2,1,LongBoard,3,2020,3-2020-LongBoard,0,#DIV/0!,PCB damage with guillotine,32,26,14,1,108,33168121-341,10.51164,22,22,1,33,33,14,
3/2/2020,6210896,SMT_2,1,1,LRAC28-10K840-UL00T,PCB,SM26,3,SMT,PCB danado por guillotina,SMT-0,2010,2009SMT05112A,1,1,LongBoard,3,2020,3-2020-LongBoard,0,#DIV/0!,PCB damage with guillotine,32,26,25,9,52,33168714-371,#N/A,22,22,1,33,33,14,
3/2/2020,6210896,SMT_2,1,1,LRAC28-10K840-UL00T,PCB,SM26,4,SMT,PCB danado por guillotina,SMT-0,2010,2009SMT05112A,2,1,LongBoard,3,2020,3-2020-LongBoard,0,#DIV/0!,PCB damage with guillotine,32,26,14,1,108,33168714-371,#N/A,22,22,1,33,33,14,
3/2/2020,6214805,SMT 2,1,2,R750C850D96N2H150C,PCB,SM26,1,SMT,PCB danado por guillotina,SMT-2,2010,2010SMT21112A,1,1,LongBoard,3,2020,3-2020-LongBoard,0,#DIV/0!,PCB damage with guillotine,32,26,25,9,52,33173209-341,8.64537,22,22,1,33,33,14,
3/2/2020,6162804,SMT 1,1,2,M10CC840D56N3SC0C,pcb,SM26,3,SMT,PCB danado por guillotina,SMT-1,2010,2010smt1112a,1,1,LongBoard,3,2020,3-2020-LongBoard,0,#DIV/0!,PCB damage with guillotine,32,26,25,9,52,33125807-241,15.2304,22,22,1,33,33,14,
3/2/2020,6162804,SMT 1,1,2,M10CC840D56N3SC0C,pcb,SM26,2,SMT,PCB danado por guillotina,SMT-1,2010,2010smt1112a,2,1,LongBoard,3,2020,3-2020-LongBoard,0,#DIV/0!,PCB damage with guillotine,32,26,14,1,108,33125807-241,10.1536,22,22,1,33,33,14,
3/2/2020,6162804,SMT 1,1,2,M10CC840D56N3SC0C,d2,SM18,1,SMT,LED Invertido,SMT-1,2010,2009smt15212a,1,2,LongBoard,3,2020,3-2020-LongBoard,0,#DIV/0!,Inverted LED,32,26,25,9,52,33125807-241,5.0768,22,22,1,1,1,0,
3/2/2020,6162804,SMT 1,1,2,M10CC840D56N3SC0C,d21,SM7,1,SMT,Comp. corrido,SMT-1,2010,2010samt11112a,1,1,LongBoard,3,2020,3-2020-LongBoard,0,#DIV/0!,Misplaced Component,32,26,25,9,52,33125807-241,5.0768,22,22,1,1,16,4,
3/2/2020,6214805,SMT 2,1,3,R750C850D96N2H150C,PCB,SM26,1,SMT,PCB danado por guillotina,SMT-2,2010,2010SMT2112A,1,1,LongBoard,3,2020,3-2020-LongBoard,0,#DIV/0!,PCB damage with guillotine,32,26,25,9,52,33173209-341,8.64537,22,22,1,33,33,14,
