reviewer,rating,written_date,branch
Kelly B,2,30-May-21,Universal Studios Florida
Jon,1,30-May-21,Universal Studios Florida
Nerdy P,2,30-May-21,Universal Studios Florida
ran101278,4,29-May-21,Universal Studios Florida
tammies20132015,5,28-May-21,Universal Studios Florida
John,1,28-May-21,Universal Studios Florida
annapN7702ZW,2,27-May-21,Universal Studios Florida
Deb P,2,27-May-21,Universal Studios Florida
Chuck N,1,27-May-21,Universal Studios Florida
Jen,4,26-May-21,Universal Studios Florida
Paul S,1,26-May-21,Universal Studios Florida
Mandee L,5,25-May-21,Universal Studios Florida
Kate Z,2,25-May-21,Universal Studios Florida
Kimberly T,1,24-May-21,Universal Studios Florida
Nancy C,5,24-May-21,Universal Studios Florida
SunilnRiss,5,22-May-21,Universal Studios Florida
Natasha L,5,19-May-21,Universal Studios Florida
khali m,1,19-May-21,Universal Studios Florida
Linkstrips,4,19-May-21,Universal Studios Florida
Aleisha523,1,19-May-21,Universal Studios Florida
Okp1245,2,19-May-21,Universal Studios Florida
kanukgirl0,2,18-May-21,Universal Studios Florida
BlueRoyalty,5,18-May-21,Universal Studios Florida
DelBueno,2,18-May-21,Universal Studios Florida
Mrbucketlist,5,17-May-21,Universal Studios Florida
TWOGTHEPUG,5,17-May-21,Universal Studios Florida
Tenaya G,1,16-May-21,Universal Studios Florida
Simon S,5,16-May-21,Universal Studios Florida
china l,5,15-May-21,Universal Studios Florida
Wendy L,3,13-May-21,Universal Studios Florida
Wendy L,2,13-May-21,Universal Studios Florida
jznawllms,4,12-May-21,Universal Studios Florida
Eric Zimmerman,5,11-May-21,Universal Studios Florida
May,2,11-May-21,Universal Studios Florida
KathleenS,1,10-May-21,Universal Studios Florida
Kenneth E,1,10-May-21,Universal Studios Florida
Heather J,2,8-May-21,Universal Studios Florida
Jewel G,1,8-May-21,Universal Studios Florida
Sarah L,5,7-May-21,Universal Studios Florida
amway60436,3,6-May-21,Universal Studios Florida
Coastal299113,1,6-May-21,Universal Studios Florida
Kathy E,3,6-May-21,Universal Studios Florida
Erica C,1,6-May-21,Universal Studios Florida
Krosener314,3,5-May-21,Universal Studios Florida
LivingTheDream,1,4-May-21,Universal Studios Florida
TBarbette,1,4-May-21,Universal Studios Florida
Ilaria T,4,3-May-21,Universal Studios Florida
Betty A,2,1-May-21,Universal Studios Florida
Julie B,5,1-May-21,Universal Studios Florida
Karen B,2,30-Apr-21,Universal Studios Florida
Mike M,1,29-Apr-21,Universal Studios Florida
Tara W,5,28-Apr-21,Universal Studios Florida
Casey H,1,28-Apr-21,Universal Studios Florida
Pete O,1,26-Apr-21,Universal Studios Florida
gwendak78,5,26-Apr-21,Universal Studios Florida
Connie Ward,1,26-Apr-21,Universal Studios Florida
Amanda,5,26-Apr-21,Universal Studios Florida
Melanie,1,26-Apr-21,Universal Studios Florida
bdutra,5,25-Apr-21,Universal Studios Florida
John L,1,24-Apr-21,Universal Studios Florida
Tegan T,4,24-Apr-21,Universal Studios Florida
GJPRUD,3,24-Apr-21,Universal Studios Florida
TangoNY,5,24-Apr-21,Universal Studios Florida
Scott R,1,22-Apr-21,Universal Studios Florida
Ryan C,5,22-Apr-21,Universal Studios Florida
652mjb,1,22-Apr-21,Universal Studios Florida
Elena B,5,20-Apr-21,Universal Studios Florida
ShayT,5,18-Apr-21,Universal Studios Florida
Pissed off in orlando,1,18-Apr-21,Universal Studios Florida
Biff Simpson,1,17-Apr-21,Universal Studios Florida
SaavySue,3,17-Apr-21,Universal Studios Florida
luv2travelHonolulu,1,17-Apr-21,Universal Studios Florida
jackie p,2,16-Apr-21,Universal Studios Florida
Curtis T,1,15-Apr-21,Universal Studios Florida
Portlandmama,4,14-Apr-21,Universal Studios Florida
Curtis W,2,12-Apr-21,Universal Studios Florida
Melanie S,1,12-Apr-21,Universal Studios Florida
Linda Davidson,4,12-Apr-21,Universal Studios Florida
Christine S,3,11-Apr-21,Universal Studios Florida
Lance H,2,11-Apr-21,Universal Studios Florida
Jen H,1,10-Apr-21,Universal Studios Florida
DLB725,1,10-Apr-21,Universal Studios Florida
Kim T,2,10-Apr-21,Universal Studios Florida
Christine P,5,9-Apr-21,Universal Studios Florida
shezwhitey,3,9-Apr-21,Universal Studios Florida
Angela SP,5,9-Apr-21,Universal Studios Florida
GoBlue,4,9-Apr-21,Universal Studios Florida
Rachel M,1,8-Apr-21,Universal Studios Florida
Isabella D,1,8-Apr-21,Universal Studios Florida
Patricia B,1,8-Apr-21,Universal Studios Florida
Appalachian Koi a,2,8-Apr-21,Universal Studios Florida
dacatlanta,1,7-Apr-21,Universal Studios Florida
mfisch47,5,7-Apr-21,Universal Studios Florida
Jessica H,1,7-Apr-21,Universal Studios Florida
KandiceLK_12,4,6-Apr-21,Universal Studios Florida
travelnchica,4,6-Apr-21,Universal Studios Florida
Vacation_Commander,5,6-Apr-21,Universal Studios Florida
Christinah525,5,6-Apr-21,Universal Studios Florida
Charlie J,2,5-Apr-21,Universal Studios Florida
tinkaluv,4,5-Apr-21,Universal Studios Florida
Erica,1,5-Apr-21,Universal Studios Florida
