date,nation,visitor,growth,share,tourism,business,official_affairs,studying,others
2019-1,China,392814,28.73786981,35.55511707,320113,2993,138,8793,60777
2019-1,Japan,206526,23.60683014,18.69346843,198805,2233,127,785,4576
2019-1,Taiwan,87954,16.00369296,7.961057311,86393,74,22,180,1285
2019-1,Hong Kong,35896,3.533212195,3.249086036,34653,59,2,90,1092
2019-1,Macao,2570,-12.37640641,0.232620657,2506,2,0,17,45
2019-1,Phillipines,30473,0.062389177,2.758229295,14279,211,161,184,15638
2019-1,Indonesia,18842,10.61406599,1.705462422,14183,136,38,187,4298
2019-1,Thailand,41334,-8.026078636,3.741300485,34004,37,199,96,6998
2019-1,Vietnam,20183,23.93613755,1.826841527,10739,763,110,1667,6904
2019-1,India,8671,16.84409109,0.784845805,2318,2656,46,177,3474
2019-1,Malaysia,22065,-0.217066884,1.997188639,19043,95,7,99,2821
2019-1,Singapore,9855,1.976407285,0.892014232,8372,94,8,48,1333
2019-1,Mongolia,9785,-9.339386639,0.885678261,8358,77,304,484,562
2019-1,Uzbekistan,5754,5.947339348,0.520816833,1958,561,0,407,2828
2019-1,Myanmar,5289,-11.67334669,0.478727882,1304,10,31,67,3877
2019-1,*GCC,1776,-1.606648199,0.160752641,1550,37,14,72,103
2019-1,Kazakhstan,3574,-9.33536276,0.323496587,2185,24,7,92,1266
2019-1,Turkey,1785,-7.704239917,0.161567266,792,13,32,36,912
2019-1,Cambodia,2695,10.85972851,0.243934892,635,39,55,51,1915
2019-1,Sri Lanka,1287,-14.2,0.116491356,157,54,5,28,1043
2019-1,Bangladesh,1247,1.299756296,0.112870801,149,126,27,97,848
2019-1,Pakistan,1032,-10.7266436,0.093410318,238,178,10,193,413
2019-1,Israel,805,-0.494437577,0.072863669,727,12,0,9,57
2019-1,Iran,184,-66.78700361,0.016654553,60,45,10,23,46
2019-1,Asia others,4554,16.67947733,0.412200184,1561,308,70,205,2410
2019-1,USA,62737,4.744970365,5.678568939,42989,418,2578,229,16523
2019-1,Canada,12460,0.346299428,1.127802875,8034,57,30,43,4296
2019-1,Brazil,1605,14.07249467,0.145274768,1136,16,9,41,403
2019-1,Mexico,1853,32.07412687,0.167722209,1282,11,7,38,515
2019-1,America others,2266,10.86105675,0.205104439,1541,24,33,128,540
2019-1,Russia,25194,14.86277013,2.280406552,17260,181,37,191,7525
2019-1,UK,10148,7.968932865,0.918534798,7982,175,17,41,1933
2019-1,Germany,6850,-6.522925764,0.62002004,4925,278,19,177,1451
2019-1,France,5574,-5.381089798,0.504524336,3773,297,48,288,1168
2019-1,Italy,2731,-1.08656284,0.247193391,1968,83,17,40,623
2019-1,Netherland,2269,-2.576212967,0.205375981,1592,47,16,77,537
2019-1,Ukraine,2262,38.85819521,0.204742384,593,58,3,28,1580
2019-1,Spain,1368,-16.17647059,0.12382298,1010,36,15,52,255
2019-1,Romania,872,19.12568306,0.078928098,412,8,4,3,445
2019-1,Norway,801,-19.33534743,0.072501613,552,66,4,28,151
2019-1,Sweden,982,4.246284501,0.088884625,844,29,6,18,85
2019-1,Poland,1324,-11.96808511,0.11984037,713,10,0,27,574
2019-1,Swiss,747,-29.32828761,0.067613864,613,18,0,19,97
2019-1,Portugal,564,-4.72972973,0.051049825,416,14,0,13,121
2019-1,Austria,776,-2.389937107,0.070238767,544,8,2,13,209
2019-1,Finland,859,-13.84152457,0.077751418,412,23,1,18,405
2019-1,Belgium,709,-6.092715232,0.064174337,490,24,4,22,169
2019-1,Croatia,491,-0.405679513,0.044442312,226,12,0,3,250
2019-1,Greece,775,8.848314607,0.070148253,481,17,4,0,273
2019-1,Bulgaria,431,17.75956284,0.03901148,154,1,1,10,265
2019-1,Denmark,751,7.439198856,0.06797592,520,21,6,16,188
2019-1,Ireland,595,0.506756757,0.053855755,392,15,1,2,185
2019-1,Europe others,2965,23.23358271,0.268373638,1809,44,25,91,996
2019-1,Austrailia,14285,22.21937029,1.292990696,12795,93,17,34,1346
2019-1,New Zealand,2725,2.482136141,0.246650308,2029,20,17,5,654
2019-1,Oceania others,614,11.23188406,0.055575519,555,3,4,0,52
2019-1,South Africa,1000,10.74197121,0.090513874,368,9,1,6,616
2019-1,Africa others,2690,19.82182628,0.243482322,768,718,90,206,908
2019-1,Stateless,54,-18.18181818,0.004887749,33,4,0,1,16
2019-1,Overseas Korean,15526,-19.11856637,1.405318414,0,0,0,0,15526
