Nacion,Proposito,Qty
China,Turismo,5341847
Hong Kong,Turismo,766312
Japan,Turismo,3585819
Taiwan,Turismo,1399668
Thailand,Turismo,542276
USA,Turismo,885065
Vietnam,Turismo,420452
China,Otros,956800
Hong Kong,Otros,12744
Japan,Otros,62971
Taiwan,Otros,17924
Thailand,Otros,95128
USA,Otros,232276
Vietnam,Otros,120491
China,Estudios,277895
Hong Kong,Estudios,3286
Japan,Estudios,16333
Taiwan,Estudios,5662
Thailand,Estudios,2181
USA,Estudios,6396
Vietnam,Estudios,65316
China,Aventuras,5067
Hong Kong,Aventuras,52
Japan,Aventuras,2264
Taiwan,Aventuras,221
Thailand,Aventuras,4189
USA,Aventuras,41533
Vietnam,Aventuras,4382
China,Negocios,47709
Hong Kong,Negocios,765
Japan,Negocios,28194
Taiwan,Negocios,1154
Thailand,Negocios,749
USA,Negocios,5449
Vietnam,Negocios,14280
