Nation,Turismo,Otros,Estudios,Aventuras,Negoscios
*GCC,34688,1525,1320,167,403
Africa others,22177,16696,3652,1210,10585
America others,35578,9621,1586,562,250
Asia others,35375,35885,4239,3007,6386
Austrailia,173354,19297,655,548,1144
Austria,11159,2471,328,35,99
Bangladesh,3520,12392,1781,1254,1877
Belgium,12758,2493,452,67,259
Brazil,20403,5763,541,183,230
Bulgaria,3546,3497,107,46,32
Cambodia,20151,26661,834,1979,664
Canada,168618,60550,868,458,596
China,5341847,956800,277895,5067,47709
Croatia,3344,3327,51,12,87
Denmark,12050,1992,560,122,175
Europe others,33404,16272,1458,366,569
Finland,9578,5323,679,26,150
France,96123,16496,6753,641,3380
Germany,106596,21034,4125,363,3056
Greece,7450,3496,30,38,303
Hong Kong,766312,12744,3286,52,765
India,49996,69041,2519,1229,37467
Indonesia,220699,89664,4207,2830,2042
Iran,2535,777,439,100,826
Ireland,8855,2434,84,29,117
Israel,17423,673,81,23,146
Italy,39693,12406,945,226,975
Japan,3585819,62971,16333,2264,28194
Kazakhstan,39679,18880,2222,86,210
Macao,57726,250,328,1,24
Malaysia,413728,37010,3221,86,1677
Mexico,25837,7420,1133,107,83
Mongolia,106469,10821,10679,4425,1217
Myanmar,24603,59380,1455,1356,183
Netherland,33256,9420,1445,120,502
New Zealand,35249,9087,65,146,245
Norway,11012,952,466,34,422
Oceania others,4727,1243,53,119,26
Overseas Korean,0,211216,0,0,0
Pakistan,4487,5714,2666,307,3139
Phillipines,315298,238844,1853,2195,2380
Poland,17062,9354,461,27,178
Portugal,10515,1753,177,1,85
Romania,7180,6878,133,63,109
Russia,289121,106036,2647,455,2369
Singapore,240647,19073,1370,108,1858
South Africa,7876,7587,65,61,90
Spain,28096,3813,1120,200,341
Sri Lanka,3677,16503,382,57,808
Stateless,489,193,20,0,25
Sweden,18586,1534,861,101,347
Swiss,17235,1348,434,39,257
Taiwan,1399668,17924,5662,221,1154
Thailand,542276,95128,2181,4189,749
Turkey,18552,15178,827,796,200
UK,132273,24425,946,242,1944
Ukraine,9635,20689,377,72,1213
USA,885065,232276,6396,41533,5449
Uzbekistan,39853,43321,8909,44,9961
Vietnam,420452,120491,65316,4382,14280
